#        ID              RA           DEC         m_i    reff_arcsec    type
 NGFS033415-353341     53.564451    -35.561258   21.18        2.506   dwarf_nucleated
 NGFS033746-350310     54.442189    -35.052727   19.83        2.712   dwarf_nucleated
 NGFS034218-352819     55.574258    -35.471924   20.73        3.293   dwarf_nucleated
 NGFS033703-354802     54.264088    -35.800585   19.78        4.242   dwarf_nucleated
 NGFS033322-353620     53.342419    -35.605612   18.70        4.439   dwarf_nucleated
 NGFS033446-345334     53.691902    -34.892657   21.03        4.463   dwarf_nucleated
 NGFS034016-353946     55.065274    -35.662729   20.11        4.629   dwarf_nucleated
 NGFS033837-355502     54.655061    -35.917138   19.39        4.655   dwarf_nucleated
 NGFS033708-344353     54.283989    -34.731292   18.02        4.766   dwarf_nucleated
 NGFS033412-351343     53.550538    -35.228691   19.66        5.328   dwarf_nucleated
 NGFS034135-352625     55.396002    -35.440146   18.36        5.413   dwarf_nucleated
 NGFS033710-352312     54.291531    -35.386672   18.65        5.439   dwarf_nucleated
 NGFS033718-354157     54.324600    -35.699200   17.52        5.960   dwarf_nucleated
 NGFS033512-351923     53.797959    -35.323003   18.92        6.057   dwarf_nucleated
 NGFS033727-355747     54.364490    -35.963073   19.74        6.228   dwarf_nucleated
 NGFS033854-344932     54.725980    -34.825656   19.68        6.280   dwarf_nucleated
 NGFS034010-355011     55.040341    -35.836294   18.41        6.564   dwarf_nucleated
 NGFS034141-351013     55.421939    -35.170375   15.09        6.901   dwarf_nucleated
 NGFS033524-362150     53.850193    -36.363752   14.77        6.922   dwarf_nucleated
 NGFS034225-353541     55.605030    -35.594732   19.39        6.938   dwarf_nucleated
 NGFS033906-360557     54.773995    -36.099097   16.90        6.959   dwarf_nucleated
 NGFS033950-353122     54.958620    -35.522855   18.87        7.046   dwarf_nucleated
 NGFS034001-344323     55.002304    -34.723117   19.81        7.125   dwarf_nucleated
 NGFS033700-350816     54.249400    -35.137700   20.20        7.616   dwarf_nucleated
 NGFS033628-351239     54.116498    -35.210838   18.08        7.774   dwarf_nucleated
 NGFS033710-355317     54.292896    -35.888095   18.89        7.890   dwarf_nucleated
 NGFS034017-363206     55.071428    -36.534886   18.36        7.972   dwarf_nucleated
 NGFS033838-354527     54.656800    -35.757592   18.80        8.024   dwarf_nucleated
 NGFS034031-355241     55.127717    -35.877950   17.19        8.095   dwarf_nucleated
 NGFS033332-353942     53.383786    -35.661725   19.86        8.258   dwarf_nucleated
 NGFS033956-353721     54.985092    -35.622365   19.95        8.695   dwarf_nucleated
 NGFS033632-362537     54.134107    -36.427045   19.23        8.771   dwarf_nucleated
 NGFS033456-351127     53.735033    -35.190952   18.12        9.097   dwarf_nucleated
 NGFS033955-353943     54.980814    -35.661947   18.20        9.247   dwarf_nucleated
 NGFS033845-351600     54.688900    -35.266646   17.60        9.555   dwarf_nucleated
 NGFS034019-361850     55.080634    -36.313924   19.59        9.592   dwarf_nucleated
 NGFS033653-345619     54.221898    -34.938538   16.47        9.749   dwarf_nucleated
 NGFS034038-360716     55.157215    -36.121158   18.27        9.910   dwarf_nucleated
 NGFS033458-350235     53.742468    -35.043002   17.85       10.244   dwarf_nucleated
 NGFS033525-361044     53.854897    -36.179021   17.54       10.283   dwarf_nucleated
 NGFS033700-352035     54.249000    -35.343000   18.48       10.512   dwarf_nucleated
 NGFS034217-353227     55.571741    -35.540775   15.70       11.162   dwarf_nucleated
 NGFS034050-354454     55.209934    -35.748460   14.92       11.419   dwarf_nucleated
 NGFS034027-362957     55.112400    -36.499083   15.55       11.462   dwarf_nucleated
 NGFS033734-354945     54.391709    -35.829211   16.93       11.827   dwarf_nucleated
 NGFS033420-352145     53.583890    -35.362628   16.78       11.840   dwarf_nucleated
 NGFS033705-353525     54.268760    -35.590182   15.14       11.959   dwarf_nucleated
 NGFS033604-352320     54.016784    -35.388877   16.63       12.022   dwarf_nucleated
 NGFS034101-354434     55.253216    -35.742658   16.87       12.132   dwarf_nucleated
 NGFS033543-353051     53.928168    -35.514147   17.62       12.214   dwarf_nucleated
 NGFS033444-355141     53.683823    -35.861480   16.17       12.537   dwarf_nucleated
 NGFS033819-353151     54.578149    -35.530927   16.72       12.613   dwarf_nucleated
 NGFS033653-362911     54.219356    -36.486511   16.56       12.750   dwarf_nucleated
 NGFS033624-355442     54.098334    -35.911538   16.81       12.916   dwarf_nucleated
 NGFS034034-350122     55.140862    -35.022865   14.99       13.300   dwarf_nucleated
 NGFS033807-352624     54.527266    -35.439882   14.06       13.460   dwarf_nucleated
 NGFS034023-351636     55.097799    -35.276659   15.96       13.681   dwarf_nucleated
 NGFS034113-350932     55.303447    -35.158797   16.36       14.578   dwarf_nucleated
 NGFS033637-352309     54.155160    -35.385909   17.56       16.377   dwarf_nucleated
 NGFS033913-352217     54.805246    -35.371481   14.45       16.779   dwarf_nucleated
 NGFS033429-353241     53.622528    -35.544725   13.55       17.545   dwarf_nucleated
 NGFS033546-355921     53.942720    -35.989296   16.15       17.629   dwarf_nucleated
 NGFS033657-355011     54.238300    -35.836500     nan          nan   dwarf_nucleated
 NGFS034044-361108     55.182713    -36.185439     nan          nan   dwarf_nucleated
 NGFS033453-353411     53.719671    -35.569758     nan          nan   dwarf_nucleated
 NGFS033920-354329     54.831847    -35.724648     nan          nan   dwarf_nucleated
 NGFS034107-353052     55.279993    -35.514436     nan          nan   dwarf_nucleated
#
 NGFS033452-355903     53.717955    -35.984151   22.66        0.973   dwarf_non_nucleated
 NGFS033550-354229     53.956502    -35.708022   22.29        1.089   dwarf_non_nucleated
 NGFS034003-362143     55.013096    -36.361876   23.55        1.168   dwarf_non_nucleated
 NGFS033422-353349     53.590659    -35.563703   22.10        1.176   dwarf_non_nucleated
 NGFS033826-360545     54.606718    -36.095700   22.26        1.233   dwarf_non_nucleated
 NGFS034003-352920     55.013060    -35.488945   21.77        1.307   dwarf_non_nucleated
 NGFS033946-361130     54.942303    -36.191657   21.62        1.362   dwarf_non_nucleated
 NGFS034002-352930     55.007240    -35.491627   22.80        1.370   dwarf_non_nucleated
 NGFS033825-360418     54.603971    -36.071598   22.93        1.412   dwarf_non_nucleated
 NGFS033631-362248     54.130173    -36.380022   21.96        1.462   dwarf_non_nucleated
 NGFS033948-344624     54.950856    -34.773438   21.57        1.510   dwarf_non_nucleated
 NGFS033356-350949     53.484699    -35.163646   22.03        1.531   dwarf_non_nucleated
 NGFS034015-361608     55.060488    -36.269022   21.73        1.623   dwarf_non_nucleated
 NGFS033917-354645     54.822072    -35.779284   22.20        1.623   dwarf_non_nucleated
 NGFS033552-345517     53.966222    -34.921440   21.92        1.633   dwarf_non_nucleated
 NGFS033624-353122     54.098615    -35.522680   22.55        1.641   dwarf_non_nucleated
 NGFS033612-350333     54.048388    -35.059246   21.39        1.644   dwarf_non_nucleated
 NGFS033715-344205     54.312749    -34.701412   21.22        1.654   dwarf_non_nucleated
 NGFS034007-343554     55.028801    -34.598362   20.94        1.654   dwarf_non_nucleated
 NGFS033633-360804     54.135644    -36.134365   21.65        1.667   dwarf_non_nucleated
 NGFS034117-353854     55.322093    -35.648292   22.96        1.681   dwarf_non_nucleated
 NGFS033654-355541     54.225296    -35.928023   21.83        1.723   dwarf_non_nucleated
 NGFS033823-354537     54.595511    -35.760315   23.06        1.736   dwarf_non_nucleated
 NGFS033342-351001     53.426508    -35.167066   22.02        1.767   dwarf_non_nucleated
 NGFS033652-360840     54.217835    -36.144507   22.90        1.804   dwarf_non_nucleated
 NGFS033625-344447     54.104510    -34.746349   21.97        1.836   dwarf_non_nucleated
 NGFS033644-360343     54.182443    -36.062021   22.93        1.846   dwarf_non_nucleated
 NGFS033624-355242     54.099567    -35.878437   20.60        1.915   dwarf_non_nucleated
 NGFS033609-353903     54.039279    -35.650919   21.05        1.920   dwarf_non_nucleated
 NGFS033347-350407     53.446502    -35.068547   21.22        1.970   dwarf_non_nucleated
 NGFS033412-354401     53.550338    -35.733657   21.79        1.996   dwarf_non_nucleated
